,Name,MarketCap,Price,Volume24h,CirculatingSupply,Change24h,timestamp
0,Bitcoin,88572803364.4,5020.75343634,15358105390.8,17641337.0,-3.20324,20190412105150
1,Ethereum,17154803371.8,162.41187852,7010199453.41,105625299.874,-4.18854,20190412105150
2,XRP,13498474005.2,0.322990977986,1356745853.02,41792108527.0,-4.42269,20190412105150
3,EOS,4791768965.33,5.28749768939,3539037783.55,906245117.6,-5.57741,20190412105150
4,Litecoin,4750032176.27,77.4846766603,3252530835.49,61302858.5909,-5.59377,20190412105150
5,Bitcoin Cash,4720899435.62,266.35744823,1649354894.18,17723925.0,-4.76953,20190412105150
6,Binance Coin,2452931645.98,17.3750531468,149351515.415,141175490.242,-1.45425,20190412105150
7,Tether,2323506199.35,1.00756700508,16102109998.9,2306056259.92,0.0535816,20190412105150
8,Stellar,2189603220.18,0.113433703676,327467554.669,19302933336.6,-4.47319,20190412105150
9,Cardano,2121688149.32,0.0818329300338,151360476.131,25927070538.0,-3.85795,20190412105150
10,TRON,1738271841.08,0.0260680537355,412364430.382,66682072191.4,-4.70862,20190412105150
11,Bitcoin SV,1225722861.39,69.1643579656,164579595.798,17721885.917,-7.79849,20190412105150
12,Monero,1117907747.24,66.0946285745,133275139.485,16913745.8118,-1.49007,20190412105150
13,Dash,1047056463.03,119.710513586,269465260.896,8746570.63662,-4.42148,20190412105150
14,IOTA,882768921.872,0.317596439683,13503924.5514,2779530283.0,-3.6281,20190412105150
15,NEO,716764634.956,11.0271482301,286794851.168,65000000.0,-3.8356,20190412105150
16,Ethereum Classic,672292341.797,6.1306787602,528224747.83,109660344.0,-6.84809,20190412105150
17,Ontology,633905924.815,1.28099493228,105556144.065,494854358.0,-7.33719,20190412105150
18,Maker,622390662.868,622.390662868,1618385.46347,1000000.0,-9.32927,20190412105150
19,NEM,571994093.34,0.0635548992671,27909481.9125,8999999999.0,-6.84079,20190412105150
0,Bitcoin,88605495107.4,5022.6065693,15364463177.2,17641337.0,-3.16751,20190412105250
1,Ethereum,17157943840.2,162.441610681,7014363211.08,105625299.874,-4.171,20190412105250
2,XRP,13499782125.9,0.323022278648,1356831690.54,41792108527.0,-4.41342,20190412105250
3,EOS,4794038304.85,5.29000180166,3540598448.31,906245117.6,-5.53269,20190412105250
4,Litecoin,4756108889.57,77.5838027605,3257081107.28,61302858.5909,-5.473,20190412105250
5,Bitcoin Cash,4713413602.59,265.935090709,1647495954.45,17723925.0,-4.92053,20190412105250
6,Binance Coin,2452621392.03,17.3728554994,149364667.77,141175490.242,-1.46672,20190412105250
7,Tether,2324388294.0,1.00794951728,16106923539.9,2306056259.92,0.0915659,20190412105250
8,Stellar,2188830699.55,0.113393682783,327567831.443,19302933336.6,-4.50689,20190412105250
9,Cardano,2122118302.4,0.0818495209204,151457581.62,25927070538.0,-3.83845,20190412105250
10,TRON,1738588958.04,0.0260728093909,412197293.107,66682072191.4,-4.69124,20190412105250
11,Bitcoin SV,1225702116.09,69.1631873626,164656177.308,17721885.917,-7.80005,20190412105250
12,Monero,1118363097.56,66.1215504835,133318345.721,16913745.8118,-1.44994,20190412105250
13,Dash,1046565800.36,119.654415866,269393620.261,8746570.63662,-4.46627,20190412105250
14,IOTA,883662580.608,0.317917953984,13506809.0832,2779530283.0,-3.53054,20190412105250
15,NEO,715878076.206,11.0135088647,286383701.686,65000000.0,-3.95454,20190412105250
16,Ethereum Classic,672613732.526,6.13360954372,528518635.937,109660344.0,-6.80356,20190412105250
17,Ontology,633822632.592,1.28082661564,105560917.961,494854358.0,-7.34937,20190412105250
18,Maker,622365265.789,622.365265789,1617908.55702,1000000.0,-9.33297,20190412105250
19,NEM,572021614.097,0.0635579571289,27914826.4948,8999999999.0,-6.83631,20190412105250
0,Bitcoin,88637703362.0,5024.43229569,15369242634.0,17641337.0,-3.13231,20190412105351
1,Ethereum,17163611686.4,162.495270611,7017293514.42,105625299.874,-4.13935,20190412105351
2,XRP,13516409359.9,0.323420134478,1358046974.65,41792108527.0,-4.29569,20190412105351
3,EOS,4796735582.95,5.29297812456,3543941779.03,906245117.6,-5.47954,20190412105351
4,Litecoin,4757320429.43,77.6035659475,3257843145.15,61302858.5909,-5.44892,20190412105351
5,Bitcoin Cash,4717687777.66,266.176243561,1648053489.97,17723925.0,-4.83431,20190412105351
6,Binance Coin,2459743280.97,17.423302563,149480682.77,141175490.242,-1.1806,20190412105351
7,Tether,2325482208.6,1.00842388324,16120743239.6,2306056259.92,0.138671,20190412105351
8,Stellar,2193820886.66,0.113652202409,328269884.192,19302933336.6,-4.28918,20190412105351
9,Cardano,2123160347.41,0.0818897123104,151461407.368,25927070538.0,-3.79123,20190412105351
10,TRON,1740099869.36,0.0260954678248,412266399.862,66682072191.4,-4.60841,20190412105351
11,Bitcoin SV,1226101417.19,69.1857188866,164603814.349,17721885.917,-7.77002,20190412105351
12,Monero,1120402690.47,66.242138373,133511705.813,16913745.8118,-1.27021,20190412105351
13,Dash,1046098136.65,119.60094763,269253093.148,8746570.63662,-4.50896,20190412105351
14,IOTA,882964135.73,0.317666672362,13475518.6379,2779530283.0,-3.60679,20190412105351
15,NEO,716003772.296,11.0154426507,286193015.4,65000000.0,-3.93768,20190412105351
16,Ethereum Classic,673081082.953,6.13787134347,527845462.098,109660344.0,-6.7388,20190412105351
17,Ontology,633270275.049,1.2797104134,105560887.137,494854358.0,-7.43011,20190412105351
18,Maker,622744390.852,622.744390852,1618191.63935,1000000.0,-9.27774,20190412105351
19,NEM,572231249.262,0.0635812499251,27913433.8303,8999999999.0,-6.80217,20190412105351
0,Bitcoin,88654901258.2,5025.40715923,15373358025.9,17641337.0,-3.05749,20190412105452
1,Ethereum,17164679868.9,162.505383553,7019057927.19,105625299.874,-4.06589,20190412105452
2,XRP,13516654932.7,0.323426010535,1358220969.52,41792108527.0,-4.26881,20190412105452
3,EOS,4796166679.83,5.29235036602,3544602120.44,906245117.6,-5.44417,20190412105452
4,Litecoin,4753526255.01,77.5416736555,3254323239.13,61302858.5909,-5.35004,20190412105452
5,Bitcoin Cash,4710834772.11,265.789590743,1646397438.02,17723925.0,-4.9022,20190412105452
6,Binance Coin,2458045108.71,17.4112737593,149444903.937,141175490.242,-1.20046,20190412105452
7,Tether,2326301301.24,1.0087790752,16125914258.3,2306056259.92,0.174335,20190412105452
8,Stellar,2190604366.14,0.113485568641,327750954.275,19302933336.6,-4.37858,20190412105452
9,Cardano,2122502111.26,0.0818643243226,151514828.862,25927070538.0,-3.73043,20190412105452
10,TRON,1739436344.33,0.0260855172488,411968729.634,66682072191.4,-4.57522,20190412105452
11,Bitcoin SV,1225789674.25,69.168128042,164545138.708,17721885.917,-7.73256,20190412105452
12,Monero,1119946378.07,66.2151595827,133496480.241,16913745.8118,-1.211,20190412105452
13,Dash,1045758106.59,119.562071815,269175749.613,8746570.63662,-4.45187,20190412105452
14,IOTA,882815387.508,0.317613156765,13471876.7724,2779530283.0,-3.56118,20190412105452
15,NEO,715824519.917,11.0126849218,286252906.8,65000000.0,-3.86587,20190412105452
16,Ethereum Classic,673032200.127,6.13742557772,527909537.784,109660344.0,-6.66603,20190412105452
17,Ontology,633429363.812,1.28003189943,105603598.248,494854358.0,-7.2906,20190412105452
18,Maker,622350990.166,622.350990166,1617437.7544,1000000.0,-9.29347,20190412105452
19,NEM,572147295.322,0.0635719217095,27907894.4644,8999999999.0,-6.71847,20190412105452
0,Bitcoin,88654901258.2,5025.40715923,15373358025.9,17641337.0,-3.05749,20190412105553
1,Ethereum,17164679868.9,162.505383553,7019057927.19,105625299.874,-4.06589,20190412105553
2,XRP,13516654932.7,0.323426010535,1358220969.52,41792108527.0,-4.26881,20190412105553
3,EOS,4796166679.83,5.29235036602,3544602120.44,906245117.6,-5.44417,20190412105553
4,Litecoin,4753526255.01,77.5416736555,3254323239.13,61302858.5909,-5.35004,20190412105553
5,Bitcoin Cash,4710834772.11,265.789590743,1646397438.02,17723925.0,-4.9022,20190412105553
6,Binance Coin,2458045108.71,17.4112737593,149444903.937,141175490.242,-1.20046,20190412105553
7,Tether,2326301301.24,1.0087790752,16125914258.3,2306056259.92,0.174335,20190412105553
8,Stellar,2190604366.14,0.113485568641,327750954.275,19302933336.6,-4.37858,20190412105553
9,Cardano,2122502111.26,0.0818643243226,151514828.862,25927070538.0,-3.73043,20190412105553
10,TRON,1739436344.33,0.0260855172488,411968729.634,66682072191.4,-4.57522,20190412105553
11,Bitcoin SV,1225789674.25,69.168128042,164545138.708,17721885.917,-7.73256,20190412105553
12,Monero,1119946378.07,66.2151595827,133496480.241,16913745.8118,-1.211,20190412105553
13,Dash,1045758106.59,119.562071815,269175749.613,8746570.63662,-4.45187,20190412105553
14,IOTA,882815387.508,0.317613156765,13471876.7724,2779530283.0,-3.56118,20190412105553
15,NEO,715824519.917,11.0126849218,286252906.8,65000000.0,-3.86587,20190412105553
16,Ethereum Classic,673032200.127,6.13742557772,527909537.784,109660344.0,-6.66603,20190412105553
17,Ontology,633429363.812,1.28003189943,105603598.248,494854358.0,-7.2906,20190412105553
18,Maker,622350990.166,622.350990166,1617437.7544,1000000.0,-9.29347,20190412105553
19,NEM,572147295.322,0.0635719217095,27907894.4644,8999999999.0,-6.71847,20190412105553
0,Bitcoin,88676709543.7,5026.61486951,15383024404.9,17641437.0,-3.0342,20190412105654
1,Ethereum,17182510061.1,162.673924344,7026230332.91,105625472.124,-3.96639,20190412105654
2,XRP,13515060474.5,0.323387858399,1358165678.97,41792108527.0,-4.28011,20190412105654
3,EOS,4798262972.1,5.29466352857,3545790535.75,906245117.6,-5.40284,20190412105654
4,Litecoin,4761896840.42,77.6782184367,3259202601.6,61302858.5909,-5.18337,20190412105654
5,Bitcoin Cash,4719284300.65,266.266320843,1648711032.79,17723925.0,-4.73163,20190412105654
6,Binance Coin,2458221853.25,17.4125257085,149349075.598,141175490.242,-1.19336,20190412105654
7,Tether,2324608004.65,1.00804479277,16128510913.8,2306056259.92,0.101419,20190412105654
8,Stellar,2190306103.28,0.113470116955,327856424.07,19302933336.6,-4.3916,20190412105654
9,Cardano,2121799326.74,0.0818372181163,151438602.573,25927070538.0,-3.7623,20190412105654
10,TRON,1739604193.39,0.026088034403,412086831.484,66682072191.4,-4.56601,20190412105654
11,Bitcoin SV,1225889540.77,69.1737632504,164352971.765,17721885.917,-7.72504,20190412105654
12,Monero,1118776841.54,66.1460124793,133543750.051,16913745.8118,-1.31417,20190412105654
13,Dash,1046469061.31,119.64335564,269446794.044,8746570.63662,-4.38692,20190412105654
14,IOTA,883096363.522,0.317714244354,13469017.7661,2779530283.0,-3.53049,20190412105654
15,NEO,716150562.53,11.017700962,286258236.117,65000000.0,-3.82208,20190412105654
16,Ethereum Classic,672964101.611,6.1368045828,528719495.7,109660344.0,-6.67548,20190412105654
17,Ontology,633137568.991,1.27944224145,105503911.706,494854358.0,-7.33331,20190412105654
18,Maker,622433532.711,622.433532711,1617734.79255,1000000.0,-9.28144,20190412105654
19,NEM,572119244.638,0.0635688049668,27921259.5948,8999999999.0,-6.72304,20190412105654
0,Bitcoin,88667027218.3,5026.06602956,15385513681.5,17641437.0,-3.04479,20190412105755
1,Ethereum,17192098068.3,162.764697971,7029105641.62,105625472.124,-3.9128,20190412105755
2,XRP,13518466613.4,0.323469360361,1358841518.65,41792108527.0,-4.25598,20190412105755
3,EOS,4803216789.7,5.30012983951,3548494829.84,906245117.6,-5.30517,20190412105755
4,Litecoin,4766901583.43,77.7596678042,3261137863.48,61303008.5909,-5.08395,20190412105755
5,Bitcoin Cash,4728640624.34,266.794213152,1651437733.37,17723925.0,-4.54275,20190412105755
6,Binance Coin,2459278316.23,17.4200090399,149333522.283,141175490.242,-1.15089,20190412105755
7,Tether,2323418324.63,1.00752889902,16134546737.0,2306056259.92,0.0501892,20190412105755
8,Stellar,2190996130.27,0.113505864216,328366610.151,19302933336.6,-4.36148,20190412105755
9,Cardano,2122364633.16,0.0818590218299,151394913.902,25927070538.0,-3.73666,20190412105755
10,TRON,1741630654.32,0.0261184242944,412243250.554,66682072191.4,-4.45484,20190412105755
11,Bitcoin SV,1226516437.94,69.208844534,164154742.751,17721960.917,-7.67825,20190412105755
12,Monero,1118597425.12,66.1352904241,133528634.853,16913775.0503,-1.33016,20190412105755
13,Dash,1046562779.72,119.653815522,269454494.606,8746589.27638,-4.37856,20190412105755
14,IOTA,883252165.962,0.317770297868,13460949.3596,2779530283.0,-3.51347,20190412105755
15,NEO,716037425.714,11.0159603956,286087496.01,65000000.0,-3.83728,20190412105755
16,Ethereum Classic,673721059.807,6.14368873494,529163517.837,109660676.0,-6.57079,20190412105755
17,Ontology,633760100.638,1.28070025128,105551494.038,494854358.0,-7.24219,20190412105755
18,Maker,622363752.13,622.36375213,1617910.7458,1000000.0,-9.29161,20190412105755
19,NEM,572201063.626,0.0635778959655,27923830.8617,8999999999.0,-6.7097,20190412105755
0,Bitcoin,88703172904.0,5028.1149378,15389890591.3,17641437.0,-3.00526,20190412105856
1,Ethereum,17197015850.4,162.811256646,7031968057.3,105625472.124,-3.88532,20190412105856
2,XRP,13524704714.6,0.323618625412,1359313252.54,41792108527.0,-4.2118,20190412105856
3,EOS,4805057664.29,5.30216116034,3550424150.81,906245117.6,-5.26888,20190412105856
4,Litecoin,4766613989.9,77.7549764597,3260093246.75,61303008.5909,-5.08968,20190412105856
5,Bitcoin Cash,4728709356.04,266.798091057,1651943079.76,17723925.0,-4.54136,20190412105856
6,Binance Coin,2458498393.64,17.4144845499,149307037.551,141175490.242,-1.18224,20190412105856
7,Tether,2323422030.79,1.00753050616,16141589913.4,2306056259.92,0.0503488,20190412105856
8,Stellar,2194182710.94,0.113670946932,328935781.381,19302933336.6,-4.22239,20190412105856
9,Cardano,2122150405.16,0.0818507591148,151435856.508,25927070538.0,-3.74638,20190412105856
10,TRON,1741541006.67,0.0261170798902,412265075.629,66682072191.4,-4.45976,20190412105856
11,Bitcoin SV,1228479216.42,69.3195985578,164093175.963,17721960.917,-7.5305,20190412105856
12,Monero,1119392070.65,66.1822725753,133545179.821,16913775.0503,-1.26007,20190412105856
13,Dash,1046704588.01,119.670028503,269559784.618,8746589.27638,-4.3656,20190412105856
14,IOTA,883433700.215,0.317835608994,13476640.5251,2779530283.0,-3.49364,20190412105856
15,NEO,716373955.564,11.0211377779,286225839.539,65000000.0,-3.79208,20190412105856
16,Ethereum Classic,674195442.34,6.14801464784,529196100.077,109660676.0,-6.505,20190412105856
17,Ontology,635852402.256,1.28492836726,105821642.521,494854358.0,-6.93596,20190412105856
18,Maker,622468175.126,622.468175126,1617350.17428,1000000.0,-9.27639,20190412105856
19,NEM,572197894.27,0.0635775438148,27921433.4329,8999999999.0,-6.71022,20190412105856
0,Bitcoin,88699373450.2,5027.89956681,15382682337.3,17641437.0,-2.95444,20190412105957
1,Ethereum,17201112753.4,162.85004372,7034440092.97,105625472.124,-3.79234,20190412105957
2,XRP,13535171776.6,0.323869080879,1360159328.55,41792108527.0,-4.11061,20190412105957
3,EOS,4807032863.66,5.30434070242,3551971606.56,906245117.6,-5.20088,20190412105957
4,Litecoin,4771295987.57,77.8313511399,3262789365.81,61303008.5909,-4.81526,20190412105957
5,Bitcoin Cash,4733364340.97,267.060729549,1652911977.91,17723925.0,-4.40269,20190412105957
6,Binance Coin,2458973197.44,17.4178477668,149309757.122,141175490.242,-1.12245,20190412105957
7,Tether,2322833439.01,1.00727526877,16149500934.0,2306056259.92,0.0254423,20190412105957
