,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),timestamp
51,Pundi X,"$153,100,071",$0.000787,"$41,426,410","194,590,575,977 NPXS",*,2019-04-06 09:19
52,Bytom,"$151,734,324",$0.151356,"$10,449,282","1,002,499,275 BTM",8.39%,2019-04-06 09:19
53,Verge,"$144,252,682",$0.009089,"$2,586,784","15,870,739,811 XVG",2.80%,2019-04-06 09:19
54,Huobi Token,"$140,469,771",$2.81,"$46,051,315","50,000,200 HT",*,2019-04-06 09:19
55,Komodo,"$138,457,907",$1.23,"$2,450,022","112,505,642 KMD",1.91%,2019-04-06 09:19
56,BitTorrent,"$137,137,893",$0.000805,"$45,602,026","170,421,000,000 BTT",*,2019-04-06 09:19
57,Siacoin,"$136,514,246",$0.003400,"$2,173,703","40,156,065,194 SC",1.90%,2019-04-06 09:19
58,KuCoin Shares,"$135,383,794",$1.51,"$3,856,692","89,939,916 KCS",*,2019-04-06 09:19
59,Aurora,"$127,356,765",$0.019467,"$3,656,041","6,542,330,148 AOA",*,2019-04-06 09:19
60,Enjin Coin,"$119,763,258",$0.156143,"$13,907,873","767,007,985 ENJ",*,2019-04-06 09:19
61,Project Pai,"$116,001,799",$0.080047,"$7,784,476","1,449,173,149 PAI",*,2019-04-06 09:19
62,Stratis,"$115,725,804",$1.17,"$1,597,925","99,277,589 STRAT",*,2019-04-06 09:19
63,THETA,"$108,545,245",$0.124693,"$7,234,031","870,502,690 THETA",*,2019-04-06 09:19
64,Paxos Standar...,"$107,625,115",$1.00,"$63,432,784","107,393,206 PAX",*,2019-04-06 09:19
65,Status,"$101,655,103",$0.029291,"$9,371,470","3,470,483,788 SNT",*,2019-04-06 09:19
66,Golem,"$97,410,782",$0.101088,"$2,358,210","963,622,000 GNT",*,2019-04-06 09:19
67,Waltonchain,"$90,690,575",$2.21,"$7,988,637","41,051,959 WTC",*,2019-04-06 09:19
68,Mixin,"$89,719,882",$204.24,"$1,076,980","439,295 XIN",*,2019-04-06 09:19
69,Ardor,"$89,247,747",$0.089337,"$851,595","998,999,495 ARDR",*,2019-04-06 09:19
70,Populous,"$89,186,385",$1.67,"$6,245,624","53,252,246 PPT",*,2019-04-06 09:19
71,Dai,"$88,922,494",$0.983551,"$38,411,047","90,409,637 DAI",*,2019-04-06 09:19
72,Digitex Futures,"$85,206,523",$0.115534,"$1,092,981","737,500,000 DGTX",*,2019-04-06 09:19
73,ABBC Coin,"$83,665,221",$0.182881,"$40,124,496","457,484,972 ABBC",-4.45%,2019-04-06 09:19
74,Insight Chain,"$82,874,581",$0.236850,"$3,211,030","349,902,689 INB",*,2019-04-06 09:19
75,Factom,"$78,687,302",$8.35,"$80,276","9,425,196 FCT",*,2019-04-06 09:19
76,Ark,"$77,095,030",$0.704449,"$672,451","109,440,156 ARK",*,2019-04-06 09:19
77,Cryptonex,"$75,907,670",$1.36,"$8,961,949","55,686,329 CNX",1.01%,2019-04-06 09:19
78,GXChain,"$75,352,469",$1.26,"$7,170,018","60,000,000 GXC",*,2019-04-06 09:19
79,Loopring,"$75,055,465",$0.090542,"$4,185,110","828,954,240 LRC",*,2019-04-06 09:19
80,Revain,"$74,133,989",$0.153027,"$793,014","484,450,000 R",*,2019-04-06 09:19
81,HyperCash,"$71,800,962",$1.65,"$1,412,751","43,529,781 HC",2.71%,2019-04-06 09:19
82,Qubitica,"$71,498,611",$25.43,"$75,882","2,811,312 QBIT",*,2019-04-06 09:19
83,Aion,"$67,848,796",$0.225618,"$5,140,222","300,724,162 AION",4.09%,2019-04-06 09:19
84,WAX,"$67,457,023",$0.071558,"$613,617","942,694,871 WAX",*,2019-04-06 09:19
85,MaidSafeCoin,"$67,142,671",$0.148364,"$309,725","452,552,412 MAID",*,2019-04-06 09:19
86,NULS,"$66,458,191",$0.955141,"$8,735,563","69,579,443 NULS",4.91%,2019-04-06 09:19
87,Gemini Dollar,"$66,395,365",$1.01,"$5,973,303","65,779,431 GUSD",*,2019-04-06 09:19
88,aelf,"$64,329,008",$0.229746,"$11,765,418","280,000,000 ELF",*,2019-04-06 09:19
89,Decentraland,"$64,076,524",$0.061017,"$3,000,297","1,050,141,509 MANA",*,2019-04-06 09:19
90,Elastos,"$63,619,379",$4.21,"$3,639,267","15,113,020 ELA",0.83%,2019-04-06 09:19
91,REPO,"$63,151,100",$0.574317,"$21,366","109,958,607 REPO",*,2019-04-06 09:19
92,ThoreCoin,"$63,087,682",$727.77,"$111,573","86,686 THR",*,2019-04-06 09:19
93,Zcoin,"$62,379,159",$8.67,"$1,088,524","7,193,985 XZC",1.07%,2019-04-06 09:19
94,Loom Network,"$61,386,698",$0.078892,"$2,774,217","778,109,474 LOOM",*,2019-04-06 09:19
95,Bibox Token,"$60,124,537",$0.541963,"$5,783,230","110,938,508 BIX",*,2019-04-06 09:19
96,Crypto.com,"$59,715,583",$3.78,"$5,370,660","15,793,831 MCO",*,2019-04-06 09:19
97,PIVX,"$57,845,530",$1.02,"$396,563","56,781,166 PIVX",*,2019-04-06 09:19
98,Nebulas,"$56,670,734",$1.25,"$4,718,265","45,500,000 NAS",*,2019-04-06 09:19
99,Metaverse ETP,"$56,614,208",$0.807571,"$10,171,528","70,104,273 ETP",-4.10%,2019-04-06 09:19
100,Electroneum,"$56,315,165",$0.006103,"$388,789","9,228,199,272 ETN",-1.85%,2019-04-06 09:19
1,Bitcoin,"$88,567,011,902",$5023.53,"$16,009,562,538","17,630,450 BTC",1.01%,2019-04-06 09:20
2,Ethereum,"$17,356,962,887",$164.45,"$6,979,189,871","105,542,782 ETH",0.63%,2019-04-06 09:20
3,XRP,"$14,950,684,126",$0.358154,"$1,656,950,580","41,743,765,071 XRP",*,2019-04-06 09:20
4,Litecoin,"$5,372,298,231",$87.76,"$3,241,664,190","61,216,611 LTC",0.28%,2019-04-06 09:20
5,Bitcoin Cash,"$5,118,581,272",$288.97,"$1,537,638,659","17,713,113 BCH",0.44%,2019-04-06 09:20
6,EOS,"$4,796,631,802",$5.29,"$2,284,454,681","906,245,118 EOS",*,2019-04-06 09:20
7,Binance Coin,"$2,711,830,664",$19.21,"$172,229,907","141,175,490 BNB",*,2019-04-06 09:20
8,Stellar,"$2,418,563,889",$0.125511,"$332,880,261","19,269,665,426 XLM",*,2019-04-06 09:20
9,Cardano,"$2,332,933,655",$0.089981,"$95,803,326","25,927,070,538 ADA",-0.46%,2019-04-06 09:20
10,Tether,"$2,090,347,090",$1.01,"$14,049,777,676","2,077,326,324 USDT",*,2019-04-06 09:20
11,TRON,"$1,807,117,097",$0.027100,"$377,891,175","66,682,072,191 TRX",-0.16%,2019-04-06 09:20
12,Bitcoin SV,"$1,489,711,496",$84.31,"$145,601,556","17,670,348 BSV",0.37%,2019-04-06 09:20
13,Monero,"$1,165,403,094",$68.95,"$92,274,703","16,901,003 XMR",5.17%,2019-04-06 09:20
14,Dash,"$1,141,012,969",$130.61,"$291,259,153","8,735,770 DASH",2.02%,2019-04-06 09:20
15,IOTA,"$974,372,824",$0.350553,"$16,332,169","2,779,530,283 MIOTA",*,2019-04-06 09:20
16,NEO,"$868,184,441",$13.36,"$303,065,244","65,000,000 NEO",*,2019-04-06 09:20
17,Ontology,"$795,639,520",$1.61,"$82,405,129","494,823,234 ONT",*,2019-04-06 09:20
18,Maker,"$770,751,106",$770.75,"$841,504","1,000,000 MKR",*,2019-04-06 09:20
19,Tezos,"$665,035,645",$1.00,"$7,670,315","663,777,620 XTZ",*,2019-04-06 09:20
20,NEM,"$637,178,608",$0.070798,"$25,791,279","8,999,999,999 XEM",*,2019-04-06 09:20
21,Ethereum Classic,"$625,948,778",$5.72,"$355,293,907","109,512,006 ETC",-1.07%,2019-04-06 09:20
22,Zcash,"$444,381,764",$71.03,"$268,356,995","6,256,119 ZEC",2.28%,2019-04-06 09:20
23,Dogecoin,"$420,165,893",$0.003532,"$50,553,362","118,961,051,287 DOGE",0.62%,2019-04-06 09:20
24,VeChain,"$418,192,012",$0.007541,"$11,527,482","55,454,734,800 VET",*,2019-04-06 09:20
25,Basic Attenti...,"$386,509,057",$0.309550,"$45,135,654","1,248,616,783 BAT",*,2019-04-06 09:20
26,Bitcoin Gold,"$340,819,161",$19.57,"$30,759,236","17,413,924 BTG",19.99%,2019-04-06 09:20
27,OmiseGO,"$333,948,590",$2.38,"$131,424,305","140,245,398 OMG",*,2019-04-06 09:20
28,Qtum,"$299,954,214",$3.36,"$184,327,527","89,377,060 QTUM",*,2019-04-06 09:20
29,Waves,"$290,201,956",$2.90,"$10,907,162","100,000,000 WAVES",*,2019-04-06 09:20
30,USD Coin,"$261,414,538",$1.00,"$41,115,142","260,415,582 USDC",*,2019-04-06 09:20
31,Lisk,"$250,974,413",$2.16,"$7,871,741","115,925,126 LSK",*,2019-04-06 09:20
32,Decred,"$246,865,116",$25.77,"$2,941,890","9,581,221 DCR",8.66%,2019-04-06 09:20
33,Crypto.com Chain,"$228,749,748",$0.050197,"$600,513","4,557,077,626 CRO",*,2019-04-06 09:20
34,Zilliqa,"$227,036,341",$0.025945,"$37,837,281","8,750,823,775 ZIL",*,2019-04-06 09:20
35,Augur,"$216,016,857",$19.64,"$5,320,717","11,000,000 REP",*,2019-04-06 09:20
36,IOST,"$215,811,492",$0.017963,"$52,561,682","12,013,965,609 IOST",*,2019-04-06 09:20
37,0x,"$213,433,764",$0.363252,"$25,859,539","587,564,582 ZRX",*,2019-04-06 09:20
38,ICON,"$205,366,833",$0.433806,"$14,304,922","473,406,688 ICX",*,2019-04-06 09:20
